Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h)
45,2.0,2.4145994571098637,0.4145994571098637,37.93318406868021,29.31837807060815
46,2.0,2.3949080108840275,0.3949080108840275,38.059127740454215,28.957126211420825
47,2.0,2.3756304788294385,0.37563047882943845,38.17052816056162,28.598441681603028
48,2.0,2.3571410503221446,0.3571410503221446,38.26133057718151,28.247915792615768
49,2.0,2.3390796168377337,0.3390796168377337,38.33738404092079,27.89933030414752
50,2.0,2.3217987661884334,0.3217987661884334,38.39297716073952,27.556374132780654
51,2.0,2.3210145891145344,0.3210145891145344,38.43459057242892,27.214908009285107
52,2.0,2.3052416808986917,0.30524168089869175,38.45839003706233,26.87778257974064
53,2.0,2.289043908153027,0.28904390815302694,38.47310209067727,26.542468327690788
54,2.0,2.2733631463582906,0.2733631463582906,38.47180046622171,26.209649093096708
55,2.0,2.257838858881217,0.2578388588812168,38.460626104796575,25.880312280288226
56,2.0,2.242872992371423,0.242872992371423,38.43299403837135,25.558723548043886
57,2.0,2.228076745836899,0.22807674583689908,38.395625323533764,25.237889627974212
58,2.0,2.2138382549705145,0.21383825497051445,38.34205116871431,24.924982823759084
59,2.0,2.2164102943437327,0.2164102943437327,38.27936020777224,24.61344612862547
60,2.0,2.202792318319803,0.20279231831980304,38.202873919512285,24.30874114199001
61,2.0,2.2530864676655455,0.25308646766554554,38.121741634349604,24.00584399107088
62,2.0,2.2396493041521692,0.23964930415216923,38.03525837535567,23.708435776963256
63,2.0,2.2254005904814846,0.22540059048148464,37.956669975580276,23.412953610077597
64,2.0,2.211025900060726,0.2110259000607262,37.87436353783499,23.123215758385363
65,2.0,2.1963119378349787,0.1963119378349787,37.79207803263708,22.834610485223862
66,2.0,2.181807499418671,0.18180749941867091,37.700450755670204,22.551299342389072
67,2.0,2.1672034391623938,0.16720343916239377,37.604940816894064,22.269504470580017
68,2.0,2.1529830680121567,0.15298306801215666,37.49727254657093,21.99250681489517
69,2.0,2.138778303893259,0.13877830389325885,37.38403431224158,21.717593819463755
70,2.0,2.125036189918216,0.12503618991821597,37.25751978083086,21.447184418525453
71,2.0,2.1113593316144836,0.11135933161448364,37.12487405914352,21.179291644771325
72,2.0,2.0981790450465394,0.0981790450465394,36.97867776988582,20.9156974075678
73,2.0,2.085077924910341,0.08507792491034083,36.82649813673138,20.654852467135942
74,2.0,2.0724789362933014,0.07247893629330138,36.66101735377376,20.398033711138694
75,2.0,2.0599540238085834,0.05995402380858339,36.49001332923037,20.144007394132032
76,2.0,2.0479291535000987,0.04792915350009874,36.3061351273065,19.893686959453802
77,2.0,2.0359642302646943,0.03596423026469431,36.117426054710705,19.646077870066684
78,2.0,2.024490470023542,0.024490470023541988,35.916416429806894,19.401897700716788
