Step,Desired Gap (s),Actual Gap (s),Error (s),Ego Speed (km/h),Target Speed (km/h),Incremental Torque (Nm),Incremental Brake Torque (Nm)
42,4.0,4.443493513892055,0.44349351389205527,76.67175750075747,67.9594722393818,430.70619238056395,0.0
43,4.0,4.4330109838016805,0.43301098380168046,76.75417851147486,67.95947223938191,428.50486106158525,0.0
44,4.0,4.422933614457863,0.4229336144578628,76.82935547692313,67.95947223938208,426.38861349938355,0.0
45,4.0,4.413183905412061,0.41318390541206096,76.89750734853833,67.95947223938174,424.34117459976517,0.0
46,4.0,4.403830706094947,0.4038307060949471,76.95886279904578,67.95946901266785,422.37700274317126,0.0
47,4.0,4.394796651926565,0.39479665192656466,77.01362386362564,67.9594658033045,420.47985136781097,0.0
48,4.0,4.386151006682079,0.3861510066820788,77.06201126481929,67.95946635342062,418.66426586646895,0.0
49,4.0,4.377831530778456,0.3778315307784563,77.10422358062706,67.95946916557928,416.91717592670824,0.0
50,4.0,4.369791125594462,0.36979112559446214,77.14048812543946,67.95947166703316,415.22869083806944,0.0
51,4.0,4.362078858157499,0.3620788581574992,77.17099887740297,67.95948076876718,413.60911467630723,0.0
52,4.0,4.35468142605292,0.3546814260529203,77.19594787457854,67.95948409283169,412.0556539343457,0.0
53,4.0,4.347600981130135,0.34760098113013527,77.21552842267559,67.95948729315467,410.5687605005608,0.0
54,4.0,4.340808162933722,0.3408081629337216,77.22994759950862,67.95948540560147,409.14226867931393,0.0
55,4.0,4.334290381663158,0.33429038166315816,77.23938995010937,67.95948213670441,407.7735346124956,0.0
56,4.0,4.328010988616557,0.3280109886165574,77.24403470443177,67.95948031358154,406.45486207270943,0.0
57,4.0,4.3219812855789765,0.32198128557897654,77.24407126283968,67.95948062695386,405.1886244348174,0.0
58,4.0,4.316214022096787,0.31621402209678706,77.23966577191224,67.9594830767934,403.97749910355765,0.0
59,4.0,4.310680089332252,0.31068008933225233,77.23097228909371,67.95946944263036,402.81537322300534,0.0
60,4.0,4.305373799899629,0.30537379989962865,77.21816700976525,67.95946554715643,401.7010524421544,0.0
