Time(s),Ego_Speed(km/h),Target_Speed(km/h),Actual_Distance(m),Desired_Distance(m),Control_Mode,Lane_Offset,ACC_State,ACC_Active,V_target_Setting,V_min_Setting,G2_Setting,Manual_Throttle,Manual_Brake,Manual_Steer
99.97928309440613,96.49654962482717,96.5390340089798,112.37602996826172,107.21838847203018,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156628012657166,0.0,4.104076651856303e-05
100.08545088768005,96.4967344617639,96.53903519693378,112.37670135498047,107.21859384640432,TIME,0.0,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156721591949463,0.0,0.00046166108222678304
100.18529653549194,96.49692695981882,96.53903440855092,112.37742614746094,107.21880773313202,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156824111938477,0.0,-0.00010519926581764594
100.28555846214294,96.4971591634105,96.53904148436149,112.37815856933594,107.21906573712278,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8156922459602356,0.0,-0.00011616998381214216
100.39167785644531,96.49740907037135,96.53905866679254,112.37911987304688,107.21934341152371,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157058954238892,0.0,-4.8331414291169494e-05
100.49562454223633,96.4976868419075,96.53905540729038,112.3798599243164,107.21965204656388,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157153129577637,0.0,-0.00011847459973068908
100.59362316131592,96.49797406138477,96.53905489887634,112.38070346415043,107.2199711793164,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157264590263367,0.0,-0.0001200403567054309
100.6940507888794,96.49828931922939,96.53905079652628,112.38141596317291,107.22032146581043,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157349824905396,0.0,4.2595293052727357e-05
100.79200220108032,96.49861560518293,96.53905988864693,112.38213610649109,107.22068400575881,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157435059547424,0.0,9.99824987957254e-05
100.8947319984436,96.49896596656382,96.53904899888231,112.3831148147583,107.22107329618201,TIME,-0.0009741581161506474,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157562017440796,0.0,-0.00011418327630963176
100.99678301811218,96.49933320827961,96.53904809186663,112.38378238677979,107.2214813425329,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157632946968079,0.0,0.0002706123050302267
101.0951611995697,96.49972892351937,96.53905313450636,112.38450241088867,107.22192102613263,TIME,-0.00024353952903766185,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157709836959839,0.0,9.704200783744454e-05
101.19759678840637,96.50013427487225,96.5390577218149,112.38523006439209,107.22237141652472,TIME,-0.0004870790580753237,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157786726951599,0.0,-0.00013516427134163678
101.29858160018921,96.50056924160607,96.53905360681954,112.38596630096436,107.22285471289564,TIME,-0.0007306186016649008,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157861828804016,0.0,-0.00010428800305817276
101.40182900428772,96.50100443828386,96.53905816117546,112.38688373565674,107.22333826475983,TIME,0.0,Hybrid Python+Simulink Mode,True,150.0,20.0,4.0,0.8157967925071716,0.0,0.00032717964495532215
