Time(s),Ego_Speed(km/h),Target_Speed(km/h),Actual_Distance(m),Desired_Distance(m),Lane_Offset
4.6805503368377686,32.525106407498086,30.49159220361795,23.250135459605936,23.06950355972116,-0.038450807332992554
4.757247447967529,33.07085236213505,31.782602028878124,23.212325253252743,23.372695756741695,-0.03430178761482239
4.832803726196289,33.543623863400704,32.78766873008853,23.188076116287846,23.63534659077817,-0.02943423017859459
4.9161834716796875,34.043411380114,33.48815624360797,23.171213462452435,23.913006322285558,-0.02377321571111679
4.991490125656128,34.37138401113489,33.074350998435555,23.14676944601994,24.095213339519386,-0.018219009041786194
5.075479984283447,34.67050519179388,31.877304368497093,23.092248451897248,24.261391773218822,-0.011856090277433395
5.146118640899658,34.585643860809974,30.51110849561029,23.018982677608342,24.214246589338874,-0.006484991405159235
5.228264331817627,34.268202972545915,28.714961859774522,22.904028181721657,24.037890540303284,-0.00042724571540020406
5.299062013626099,33.787969236968124,27.166731684453303,22.781273406298958,23.771094020537845,0.004516606219112873
5.375223159790039,33.066048836884484,25.537590575008615,22.63103285237678,23.37002713160249,0.008941656909883022
5.449881315231323,32.26713083689021,24.11363517358692,22.465935994047122,22.926183798272337,0.01193238329142332
5.523956775665283,31.444683155742833,23.352137178630418,22.30015991959035,22.46926841985713,0.01264954824000597
5.602031946182251,30.549338576215348,23.021187237360266,22.129807444674217,21.971854764564082,0.010925301350653172
5.677779674530029,29.859863890804004,23.235746934749006,21.982211673293047,21.58881327266889,0.00679016625508666
5.756244421005249,29.100858337395056,23.591629386185286,21.854120262986,21.16714352077503,0.000762938754633069
5.834458112716675,28.560124571373162,25.349541197464177,21.762649572882957,20.86673587298509,-0.00703430874273181
5.910773038864136,28.23644844654189,26.727321935211737,21.71372053704234,20.686915803634385,-0.016082780435681343
5.9889140129089355,27.90987222687557,27.33296251602756,21.693695325733472,20.505484570486427,-0.02580263838171959
6.067223787307739,27.958446034053967,28.22810848957926,21.692370514258943,20.532470018918872,-0.035781893879175186
6.145622730255127,28.247597499607444,28.1513668788508,21.694740972200776,20.693109722004134,-0.04557804763317108
6.2224814891815186,28.488454897107903,27.373099682012537,21.681939901989697,20.826919387282167,-0.05444341152906418
6.298070192337036,28.86362968139986,26.112561897286895,21.639731318381582,21.035349822999923,-0.062240660190582275
6.374838352203369,29.569837741979022,24.78009094793156,21.55627625318649,21.42768763443279,-0.06842046976089478
6.451234579086304,29.86754068191884,23.30524877375961,21.43084816778235,21.593078156621576,-0.07283026725053787
6.529765605926514,30.344163475931794,21.884797344320976,21.26531105618117,21.857868597739884,-0.07524116337299347
6.606112241744995,30.395074083188508,21.068910670589375,21.07804350605224,21.88615226843806,-0.07568366825580597
6.6865363121032715,30.192029207880378,20.562431171576023,20.875316818424032,21.773349559933543,-0.07424934208393097
6.76276159286499,29.823778750271945,20.67555036985388,20.679687829009225,21.568765972373303,-0.07106024771928787
6.8381569385528564,29.252698142844913,21.27006371486187,20.502858819229253,21.251498968247173,-0.06636054068803787
6.911986827850342,28.567574926106936,22.36166427134253,20.36294560123944,20.8708749589483,-0.06065374240279198
6.9905126094818115,27.745000913392893,23.448004462627186,20.259388221161604,20.413889396329385,-0.05400091037154198
7.065225124359131,26.849416581671935,24.64603796783465,20.198306680003896,19.916342545373297,-0.04664616659283638
7.141409873962402,25.903494421757895,25.58943620577456,20.1763873753816,19.39083023430994,-0.039108309894800186
7.2190260887146,24.984155244840508,26.50510267415308,20.194153382460442,18.880086247133615,-0.032150302082300186
7.299149990081787,24.173692622597407,27.57333781887835,20.252264057799575,18.429829234776335,-0.02624514326453209
7.372887849807739,23.345874445314912,27.157310887892887,20.32865030485415,17.969930247397173,-0.02171327918767929
7.452203750610352,22.66792911712424,26.1395131481303,20.409177798273458,17.59329395395791,-0.018463153392076492
7.5293495655059814,22.010198487970694,24.916937248418098,20.476012186696142,17.227888048872607,-0.016723649576306343
7.605506420135498,21.359485021478697,23.574137662822363,20.52631308957402,16.866380567488164,-0.016235368326306343
7.68520975112915,20.730417176295482,22.190201445112816,20.562670716737465,16.516898431275266,-0.01672365516424179
7.758932828903198,20.3577838260927,21.01301445088554,20.579485291713397,16.309879903384832,-0.01795961521565914
7.833225727081299,20.036987397929032,20.27425736329172,20.584718373516942,16.13165966551613,-0.019714374095201492
