cycle_index,desired_time_gap_s,actual_time_gap_s
105,2.0,3.040141080613127
106,2.0,3.0593391853107557
107,2.0,3.0774407732792137
108,2.0,3.0943963786142903
109,2.0,3.110096888418079
110,2.0,3.124742734045555
111,2.0,3.1382042257140603
112,2.0,3.1500846397881888
113,2.0,3.1602763334590596
114,2.0,3.1687867960658016
115,2.0,3.1755350339498465
116,2.0,3.180573839797452
117,2.0,3.18389201212986
118,2.0,3.185590664240975
119,2.0,3.1857376908301296
120,2.0,3.1845153878055386
121,2.0,3.1820433609357424
122,2.0,3.178446028598909
123,2.0,3.173871732602989
124,2.0,3.1686510138730792
125,2.0,3.1631207844731755
126,2.0,3.157748486637056
127,2.0,3.1528758613535732
128,2.0,3.1488224434703507
129,2.0,3.1457448085480277
130,2.0,3.143813898292509
131,2.0,3.143093944533361
132,2.0,3.143592303547805
133,2.0,3.145230132794611
134,2.0,3.1479150978449466
135,2.0,3.151536209626546
136,2.0,3.155912105354591
137,2.0,3.160815724702544
138,2.0,3.165980155379855
139,2.0,3.1711391889981715
140,2.0,3.1760417481981205
141,2.0,3.180454713407049
142,2.0,3.1842149286968127
143,2.0,3.1871763584650403
144,2.0,3.189255661069232
145,2.0,3.190432301436314
146,2.0,3.1907244087940647
147,2.0,3.1900858800069503
148,2.0,3.188526813626636
149,2.0,3.186131217555457
150,2.0,3.182923583931113
151,2.0,3.178923908819076
152,2.0,3.1742632875936905
153,2.0,3.1690915758003313
154,2.0,3.1635250641996797
155,2.0,3.1577321349388208
156,2.0,3.1519868667280027
157,2.0,3.1464642218717374
158,2.0,3.1413678030318763
159,2.0,3.1369227275647016
160,2.0,3.1333912484512947
161,2.0,3.1308844765573087
162,2.0,3.1295066050050213
163,2.0,3.1293134142036667
164,2.0,3.1302364870819557
165,2.0,3.1320691653941815
166,2.0,3.1346709338596095
167,2.0,3.1379244084546056
168,2.0,3.141675373345196
169,2.0,3.1459038845197997
170,2.0,3.1506155489561736
171,2.0,3.155558946117558
172,2.0,3.1604501482339202
173,2.0,3.1650373056837657
174,2.0,3.169023014731731
175,2.0,3.172137590395189
176,2.0,3.1742759023668827
177,2.0,3.1753134450846128
178,2.0,3.1751793650961804
179,2.0,3.173915986599671
180,2.0,3.1716624456496287
181,2.0,3.168452551799141
182,2.0,3.1644697891607443
183,2.0,3.15989340853357
184,2.0,3.154893902623171
185,2.0,3.1496116206822644
186,2.0,3.1443062864982165
187,2.0,3.1391891111303987
188,2.0,3.134417067607299
189,2.0,3.1301841259844885
190,2.0,3.1267148208978033
191,2.0,3.1241295888753844
192,2.0,3.1225211895765455
193,2.0,3.1219539153294282
194,2.0,3.122503261657553
195,2.0,3.1240430914177653
196,2.0,3.1264657376317126
197,2.0,3.12960867754712
198,2.0,3.1333221984060033
199,2.0,3.1373999428294668
200,2.0,3.1417362093568326
201,2.0,3.1461460419849785
202,2.0,3.1502212171249027
203,2.0,3.1541645277120223
204,2.0,3.157908842117377
205,2.0,3.160919023750414
206,2.0,3.1630755542509843
207,2.0,3.1644954500967777
208,2.0,3.1651403498196524
209,2.0,3.1644785807906843
210,2.0,3.1629617812879354
211,2.0,3.1602439068018255
212,2.0,3.156439700473256
213,2.0,3.15176686233324
214,2.0,3.146165673921132
215,2.0,3.1398496295858296
216,2.0,3.132481482519897
217,2.0,3.1246153878949774
218,2.0,3.116177694313054
219,2.0,3.1073875219449287
220,2.0,3.098827213450411
221,2.0,3.0904626046583905
